datetime,open,high,low,close,tick_volume
2024-01-22 12:08:00+02:00,1.08931,1.08933,1.08927,1.0893,37
2024-01-22 12:09:00+02:00,1.08929,1.08945,1.08928,1.08944,30
2024-01-22 12:10:00+02:00,1.08946,1.08948,1.08939,1.08946,43
2024-01-22 12:11:00+02:00,1.08945,1.08947,1.08933,1.08935,41
2024-01-22 12:12:00+02:00,1.08936,1.0894,1.08932,1.08939,44
2024-01-22 12:13:00+02:00,1.08938,1.08951,1.08935,1.08942,58
2024-01-22 12:14:00+02:00,1.08941,1.08951,1.08941,1.08943,31
2024-01-22 12:15:00+02:00,1.0894,1.08943,1.08926,1.08926,34
2024-01-22 12:16:00+02:00,1.08926,1.08927,1.08904,1.08905,49
2024-01-22 12:17:00+02:00,1.08906,1.0891,1.089,1.08901,43
2024-01-22 12:18:00+02:00,1.08901,1.08905,1.0889199999999999,1.08898,74
2024-01-22 12:19:00+02:00,1.089,1.0891,1.08893,1.0890900000000001,46
2024-01-22 12:20:00+02:00,1.08908,1.08913,1.08904,1.0891,25
2024-01-22 12:21:00+02:00,1.0890900000000001,1.08913,1.08905,1.08906,16
2024-01-22 12:22:00+02:00,1.08905,1.08915,1.08903,1.08914,53
2024-01-22 12:23:00+02:00,1.08915,1.08921,1.08908,1.08908,24
2024-01-22 12:24:00+02:00,1.0890900000000001,1.08917,1.08908,1.08911,21
2024-01-22 12:25:00+02:00,1.0891,1.08916,1.08907,1.08915,39
2024-01-22 12:26:00+02:00,1.08914,1.08915,1.08905,1.08911,29
2024-01-22 12:27:00+02:00,1.08912,1.08915,1.08895,1.08902,62
2024-01-22 12:28:00+02:00,1.089,1.089,1.08889,1.08898,44
2024-01-22 12:29:00+02:00,1.08899,1.08902,1.08894,1.08898,38
2024-01-22 12:30:00+02:00,1.08896,1.08906,1.08895,1.08904,51
2024-01-22 12:31:00+02:00,1.08905,1.08905,1.08894,1.08903,50
2024-01-22 12:32:00+02:00,1.08904,1.08912,1.08901,1.0891,38
2024-01-22 12:33:00+02:00,1.08911,1.08914,1.0890900000000001,1.08914,20
2024-01-22 12:34:00+02:00,1.08911,1.08914,1.0891,1.08913,11
2024-01-22 12:35:00+02:00,1.08911,1.08913,1.0891,1.0891,26
2024-01-22 12:36:00+02:00,1.08911,1.08919,1.0891,1.08914,27
2024-01-22 12:37:00+02:00,1.08915,1.08918,1.0889199999999999,1.08901,53
2024-01-22 12:38:00+02:00,1.08901,1.08913,1.08901,1.08913,50
2024-01-22 12:39:00+02:00,1.08913,1.08917,1.08879,1.08885,76
2024-01-22 12:40:00+02:00,1.08884,1.08886,1.08872,1.08878,57
2024-01-22 12:41:00+02:00,1.08878,1.089,1.08877,1.08896,47
2024-01-22 12:42:00+02:00,1.08895,1.08915,1.08895,1.08915,31
2024-01-22 12:43:00+02:00,1.08916,1.08921,1.08908,1.08911,48
2024-01-22 12:44:00+02:00,1.0891,1.08911,1.08899,1.089,27
2024-01-22 12:45:00+02:00,1.08897,1.08901,1.08893,1.08896,61
2024-01-22 12:46:00+02:00,1.08897,1.08902,1.08896,1.089,36
2024-01-22 12:47:00+02:00,1.08899,1.08901,1.08895,1.08897,44
2024-01-22 12:48:00+02:00,1.08897,1.089,1.08888,1.08889,31
2024-01-22 12:49:00+02:00,1.08888,1.08898,1.08888,1.08889,39
2024-01-22 12:50:00+02:00,1.08888,1.08893,1.08884,1.08891,66
2024-01-22 12:51:00+02:00,1.0889199999999999,1.08893,1.08886,1.08888,58
2024-01-22 12:52:00+02:00,1.08886,1.08889,1.08872,1.08873,58
2024-01-22 12:53:00+02:00,1.08873,1.08877,1.08867,1.08877,23
2024-01-22 12:54:00+02:00,1.08881,1.08889,1.08878,1.08886,55
2024-01-22 12:55:00+02:00,1.08885,1.08885,1.08867,1.08875,71
2024-01-22 12:56:00+02:00,1.08874,1.08875,1.08857,1.08864,52
2024-01-22 12:57:00+02:00,1.08864,1.08873,1.08864,1.08872,42
